127.0.0.1 - - [21/Nov/2016:16:12:30 -0300] "GET /assets/img-temp/gallery/photo-1417086958796-c69f2affd4c1.jpg HTTP/1.1" 404 566 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:30 -0300] "GET /assets/img-temp/services/picjumbo.com_IMG_6358.jpg HTTP/1.1" 404 556 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:30 -0300] "GET /assets/img-temp/services/greece-2.jpg HTTP/1.1" 404 543 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:30 -0300] "GET /assets/img-temp/gallery/photo-1421300461809-f2164b2e8f3c.jpg HTTP/1.1" 404 566 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:30 -0300] "GET /assets/img-temp/gallery/photo-1422477095642-267ff594ab73.jpg HTTP/1.1" 404 566 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:30 -0300] "GET /assets/img-temp/gallery/photo-1417551047620-471daaad5a65.jpg HTTP/1.1" 404 566 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:30 -0300] "GET /assets/img-temp/gallery/photo-1422349829867-7587357f2b58.jpg HTTP/1.1" 404 566 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:30 -0300] "GET /assets/img-temp/gallery/stockholm.jpg HTTP/1.1" 404 543 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:30 -0300] "GET /assets/img-temp/gallery/photo-1420819453217-57b6badd9e19.jpg HTTP/1.1" 404 566 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:30 -0300] "GET /assets/img/logo-dark.png HTTP/1.1" 404 530 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:30 -0300] "GET /assets/img-temp/services/picjumbo.com_vranov-czech-republic.jpg HTTP/1.1" 404 569 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:46:39 -0300] "GET / HTTP/1.1" 500 185 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:46:40 -0300] "GET /favicon.ico HTTP/1.1" 404 518 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
